,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
176,Safdarjung,28.562459595692307,77.19603950199998,65,"North Indian, Chinese, South Indian, North Indian, Chinese, North Indian, Mithai, Chinese, North Indian, Fast Food, Naga, Tibetan, North Indian, South Indian, Chinese, Street Food, Mithai, Cafe, Cafe, Cafe, Bakery, Chinese, North Indian, South Indian, Chinese, Mughlai, North Indian, Chinese, Chinese, North Indian, Chinese, Tibetan, Chinese, Tibetan, Chinese, North Indian, Chinese, Ice Cream, Desserts, Raw Meats, North Indian, Fast Food, North Indian, North Indian, Chinese, Fast Food, Chinese, Fast Food, Chinese, Chinese, Tibetan, Chinese, Pizza, Fast Food, North Indian, North Indian, Mughlai, North Indian, Chinese, Fast Food, North Indian, Chinese, Mughlai, Fast Food, North Indian, North Indian, Mughlai, American, Fast Food, Salad, Healthy Food, Bakery, Desserts, Bakery, Desserts, Bakery, Desserts, Chinese, Chinese, Tibetan, Fast Food, Fast Food, American, Italian, European, North Indian, North Indian, Mughlai, Chinese, Tibetan, Cafe, Korean, North Indian, Tibetan, Fast Food, Desserts, North Indian, Chinese, Mughlai, North Indian, Chinese, Mughlai, Sushi, North Eastern, European, Italian, Cafe, American, Continental, Nepalese, Continental, Fast Food, Cafe, Cafe, North Indian, Chinese, European, Asian, Naga, Pizza, North Indian, Mughlai, Chinese, Mexican, American, Pizza, Italian",3.2692307692307683,"Average, Good, Poor, Very Good",8739,0,Coffee Shop,Indian Restaurant,Park,Café,Greek Restaurant,American Restaurant,Mexican Restaurant,Restaurant,Jazz Club,Frozen Yogurt Shop
177,Sainik Farms,28.511481677999996,77.20300498099999,10,"Fast Food, Mithai, Street Food, Mithai, Street Food, North Indian, South Indian, Chinese, Pizza, Fast Food, North Indian, Mughlai, Fast Food, Street Food, North Indian, Bakery, Desserts, North Indian, Mughlai, North Indian",2.7499999999999996,"Average, Poor",107,0,Asian Restaurant,Pub,Bakery,Restaurant,Diner,Eastern European Restaurant,Electronics Store,Garden Center,Garden,Gaming Cafe
178,Saket,28.520094936874997,77.20666243218749,32,"North Indian, Biryani, North Indian, Chinese, Italian, Finger Food, North Indian, Continental, Chinese, Italian, Chinese, Italian, Fast Food, Pizza, North Indian, Continental, Fast Food, North Indian, Mughlai, Chinese, North Indian, North Indian, Mughlai, Chinese, Fast Food, Fast Food, South Indian, North Indian, Chinese, Italian, Pizza, Fast Food, North Indian, Pizza, Fast Food, North Indian, Mughlai, Bakery, Desserts, Asian, Chinese, North Indian, Chinese, Chinese, Asian, Mediterranean, Continental, Cafe, Bakery, Desserts, Continental, Italian, North Indian, Beverages, Fast Food, Beverages, Street Food, North Indian, Mediterranean, Asian, Fast Food, Pizza, North Indian, Chinese, Cafe, Ice Cream, Desserts, Cafe, Italian, Lebanese, Continental, Mediterranean",3.2562499999999996,"Average, Good, Poor, Very Good",3917,0,Café,Indian Restaurant,Coffee Shop,Multiplex,Light Rail Station,Electronics Store,Pub,Falafel Restaurant,Middle Eastern Restaurant,Lounge
179,"Sangam Courtyard, RK Puram",28.57211732857143,77.17324289999999,7,"South American, European, Italian, Cafe, Continental, American, Italian, Seafood, North Indian, Cafe, North Indian, Continental, Asian, Asian, Sushi, Thai",3.8714285714285714,"Average, Good, Very Good",1871,0,Multiplex,Coffee Shop,Asian Restaurant,Shopping Mall,Café,Thai Restaurant,Restaurant,Comfort Food Restaurant,Convenience Store,Electronics Store
180,Sarita Vihar,28.534498707692308,77.29192408461537,13,"Arabian, North Indian, Mithai, Street Food, North Indian, North Indian, Fast Food, Chinese, Raw Meats, North Indian, Fast Food, North Indian, Chinese, Fast Food, Fast Food, North Indian, North Indian, Chinese, Bakery, Desserts, Bakery, Desserts, North Indian, Chinese",3.0,"Average, Good, Poor",173,0,Café,Arcade,Women's Store,Food & Drink Shop,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
182,Satyaniketan,28.5879182072973,77.16839873337835,74,"Fast Food, North Indian, Chinese, Fast Food, Cafe, Continental, Italian, North Indian, Bakery, Fast Food, North Indian, North Indian, Cafe, Fast Food, North Indian, Cafe, Fast Food, Chinese, Bakery, Desserts, Bakery, Desserts, Chinese, Desserts, Beverages, Cafe, Italian, Chinese, Mughlai, Cafe, Chinese, Fast Food, Chinese, Fast Food, Desserts, North Indian, Mughlai, Chinese, Cafe, Chinese, Italian, North Indian, North Indian, Chinese, North Indian, Chinese, Chinese, Fast Food, Cafe, Continental, Italian, Mexican, Chinese, American, Cafe, Continental, Italian, Fast Food, Italian, Continental, Mexican, North Indian, Fast Food, Cafe, Fast Food, Fast Food, Italian, Beverages, Continental, American, Italian, North Indian, Chinese, Cafe, Italian, Chinese, North Indian, North Indian, Chinese, Chinese, Continental, Cafe, Italian, North Indian, Cafe, Fast Food, Chinese, Thai, Japanese, Tibetan, Street Food, Chinese, North Indian, North Indian, Chinese, Italian, North Indian, Chinese, Fast Food, Cafe, Ice Cream, Desserts, Fast Food, Fast Food, Burger, Fast Food, Cafe, North Indian, Chinese, Chinese, Thai, Continental, Fast Food, North Indian, Cafe, North Indian, Continental, Italian, American, Fast Food, Salad, Healthy Food, Sushi, Asian, Cafe, Cafe, Cafe, Continental, Mexican, Italian, North Indian, Chinese, Cafe, Continental, Italian, Chinese, Cafe, North Indian, Continental, Chinese, Cafe, Continental, Chinese, North Indian, Italian, Street Food, Italian, Pizza, Chinese, Fast Food, Cafe, Fast Food, Italian, Street Food, South Indian, Burger, Fast Food, Cafe, Italian, Continental, Cafe, Italian, Continental, Mexican, Cafe, Continental, Italian, Desserts, Ice Cream, Cafe, North Indian, Chinese, Continental, Cafe, Continental, Italian, Chinese, North Indian, Cafe, Continental, Italian, Cafe, Continental, North Indian, Chinese, Mexican, Hyderabadi, Biryani, North Indian, Cafe, Fast Food, Italian, Chinese, Cafe, Italian, Chinese, Continental",3.5418918918918907,"Average, Excellent, Good, Poor, Very Good",16386,0,Café,Plaza,Bistro,Deli / Bodega,Snack Place,Ice Cream Shop,Flea Market,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
183,"Sector 15, Dwarka",28.670775800000005,77.20319497,1,"Bakery, Fast Food",3.1,Average,9,0,Train Station,Light Rail Station,Women's Store,Flea Market,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
184,"Select Citywalk Mall, Saket",28.5287432964,77.2192115932,25,"Turkish, Pizza, Fast Food, Mughlai, Asian, Chinese, Thai, Japanese, Cafe, Korean, Beverages, Desserts, Pizza, Italian, Mediterranean, American, Asian, Chinese, Beverages, Bakery, Desserts, Fast Food, Healthy Food, Salad, South Indian, Cafe, Cafe, Cafe, Lebanese, Arabian, Moroccan, Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American, Desserts, Cafe, Continental, Italian, Desserts, Ice Cream, Desserts, Beverages, Ice Cream, Desserts, North Indian, Mughlai",3.7640000000000002,"Average, Excellent, Good, Poor, Very Good",9054,0,Indian Restaurant,Café,Clothing Store,Bar,Lounge,Chinese Restaurant,Hotel,Shopping Mall,Donut Shop,Multiplex
185,Shahdara,28.683364450975603,77.28630700634147,41,"North Indian, Fast Food, South Indian, North Indian, Mughlai, Mithai, Street Food, North Indian, North Indian, Street Food, North Indian, Chinese, Fast Food, North Indian, Mughlai, Ice Cream, North Indian, Fast Food, North Indian, Mughlai, North Indian, Chinese, South Indian, Pizza, Fast Food, Street Food, Ice Cream, Desserts, North Indian, Chinese, North Indian, North Indian, Mithai, Chinese, North Indian, South Indian, Fast Food, North Indian, Fast Food, Chinese, North Indian, Chinese, Street Food, Chinese, South Indian, North Indian, Pizza, Fast Food, Pizza, Fast Food, Pizza, Fast Food, North Indian, Chinese, South Indian, Fast Food, Chinese, Street Food, Mithai, North Indian, Street Food, Fast Food, North Indian, Chinese, North Indian, Chinese, South Indian, Bakery, North Indian, Chinese, Bakery",3.0,"Average, Good",586,0,Chocolate Shop,Park,Mobile Phone Shop,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
186,Shahpur Jat,28.54892241769231,77.21420081692307,26,"Tea, Italian, Pizza, Bakery, Cafe, Cafe, North Indian, Chinese, South Indian, North Indian, Cafe, Asian, North Indian, Cafe, Hyderabadi, North Indian, Cafe, Continental, Chinese, Italian, North Indian, Continental, Salad, North Indian, Italian, Continental, Cafe, Ice Cream, Desserts, Bakery, Cafe, North Indian, Fast Food, Asian, Chinese, Thai, Vietnamese, Biryani, Mughlai, Cafe, Continental, Italian, Cafe, Cafe, Continental, Italian, Cafe, Continental, Italian, Mexican, Bakery, Desserts, North Indian, Mughlai, Cafe, Bakery, Italian",3.7153846153846155,"Average, Excellent, Good, Poor, Very Good",2882,0,Bar,Australian Restaurant,Indian Restaurant,Furniture / Home Store,Stadium,Comedy Club,Chinese Restaurant,Women's Store,Garden Center,Garden
187,Shakarpur,28.6296343,77.28037278571428,7,"South Indian, Fast Food, North Indian, North Indian, Chinese, North Indian, North Indian, Chinese, Pizza, Fast Food, North Indian, Chinese",2.9428571428571426,Average,151,0,Snack Place,Train Station,Coffee Shop,Shopping Mall,Gym,Diner,IT Services,Fish & Chips Shop,Gaming Cafe,Furniture / Home Store
190,Shanti Niketan Marg,28.5771071,77.168505,2,"Cafe, Pizza, Fast Food",3.0999999999999996,Average,114,0,Pizza Place,Gourmet Shop,Convenience Store,Café,Food & Drink Shop,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
191,Sheikh Sarai,28.5222793,77.181974,1,Cafe,3.1,Average,14,0,Thai Restaurant,Italian Restaurant,Market,Whisky Bar,Café,Historic Site,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
192,"Sheraton New Delhi Hotel, Saket",28.52685597333333,77.2157407,3,"South Indian, North Indian, Continental, Asian, Chinese, Thai, Japanese",4.066666666666666,Very Good,802,0,Indian Restaurant,Clothing Store,Bar,Hotel,Chinese Restaurant,Shopping Mall,Multiplex,Lounge,Café,Donut Shop
195,"Southern Park Mall, Saket",28.527730794999997,77.21937267,2,"North Indian, Chinese, Finger Food, Continental, Italian, North Indian",3.45,"Average, Good",396,0,Indian Restaurant,Clothing Store,Lounge,Bar,Shopping Mall,Hotel,Café,Chinese Restaurant,Donut Shop,Multiplex
198,Subhash Nagar,28.63671151764706,77.11177870000002,17,"North Indian, Fast Food, Mithai, Chinese, Chinese, Fast Food, South Indian, Fast Food, Italian, North Indian, Chinese, North Indian, North Indian, Street Food, Chinese, North Indian, Bakery, Fast Food, North Indian, Chinese, North Indian, Fast Food, North Indian, Beverages, Fast Food, North Indian, Mughlai, Chinese",3.023529411764706,"Average, Poor",185,0,Skating Rink,Multiplex,Park,Sculpture Garden,Women's Store,Food,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
200,"T3 Domestic Arrival, Aerocity",28.564288,77.120791,1,Beverages,3.2,Average,6,0,Coffee Shop,Airport,Pub,Café,Airport Service,Burger Joint,Pizza Place,Gaming Cafe,Garden,Food & Drink Shop
201,"TDI Mall, Rajouri Garden",28.651298699999998,77.12089876666667,3,"North Indian, European, Burger, Fast Food, Italian, Pizza, Fast Food",3.5,"Average, Good",479,0,Indian Restaurant,Café,Fast Food Restaurant,Diner,Hotel,Multiplex,BBQ Joint,Pub,Hookah Bar,Shopping Mall
203,"Taj Vivanta, Khan Market",28.601186866666666,77.2294269,3,"Italian, Continental, Finger Food, Chinese, Continental, North Indian, South Indian, Italian",3.6333333333333333,"Average, Good",1018,0,Café,Chinese Restaurant,Coffee Shop,Bar,Asian Restaurant,Indian Restaurant,Bookstore,Food,Sandwich Place,Restaurant
206,"The Grand New Delhi, Vasant Kunj",28.538992999999998,77.15245999999999,2,"American, Finger Food, North Indian, Continental, Asian",3.45,"Average, Good",242,0,Coffee Shop,Fast Food Restaurant,Clothing Store,Department Store,Restaurant,Movie Theater,Mexican Restaurant,Indian Restaurant,Fried Chicken Joint,Italian Restaurant
207,"The Imperial, Janpath",28.625444555555564,77.21818655555555,9,"Finger Food, European, European, Continental, Finger Food, North Indian, Chinese, South Indian, Italian, North Indian, Desserts, Bakery, Italian, European, Desserts, Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",3.6000000000000005,"Average, Good, Very Good",843,0,Indian Restaurant,Hotel,Italian Restaurant,Café,Coffee Shop,Mediterranean Restaurant,Lounge,Pizza Place,Pub,Bistro
208,"The India Mall, New Friends Colony",28.56246857714286,77.26886443857143,7,"Chinese, Thai, Asian, North Indian, Mughlai, Bakery, Desserts, Fast Food, Cafe, Fast Food, Chinese, Cafe, South Indian, North Indian, Chinese, American, Fast Food, Salad, Healthy Food",2.971428571428571,"Average, Good, Poor",486,0,Café,Fast Food Restaurant,Italian Restaurant,Thai Restaurant,Hotel,Lounge,Middle Eastern Restaurant,Nightclub,Diner,Plaza
214,"The Suryaa New Delhi, New Friends Colony",28.56110522,77.26958794500001,4,"Finger Food, Cafe, Bakery, Finger Food, Continental, Italian, Chinese, Thai, Chinese, Japanese",3.425,"Average, Good",246,0,Café,Fast Food Restaurant,Italian Restaurant,Sandwich Place,Hotel,Lounge,Middle Eastern Restaurant,Nightclub,Diner,Indian Restaurant
216,"The Taj Palace Hotel, Chanakyapuri",28.594858975,77.170211775,4,"North Indian, European, Asian, Asian, European, Cafe",3.8,"Good, Very Good",287,0,Indian Restaurant,Hotel,Café,Chinese Restaurant,North Indian Restaurant,Bistro,Restaurant,College Gym,Pool,Diner
218,"The Village Restaurant Complex, Khel Gaon Marg",28.552403466666664,77.21318513333334,3,"Chinese, Thai, European, American, Mexican",3.8333333333333335,"Good, Very Good",1133,0,Bar,Coffee Shop,Hotel,Australian Restaurant,Chinese Restaurant,Comedy Club,Theater,Restaurant,Stadium,Karaoke Bar
220,Tughlakabad Institutional Area,28.52351906,77.25662515,1,"North Indian, Mughlai, Chinese, Bakery",3.7,Good,281,0,Market,Restaurant,Cosmetics Shop,Steakhouse,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
224,"V3S Mall, Laxmi Nagar",28.636921376923077,77.2862976923077,26,"Cafe, Fast Food, Chinese, North Indian, Chinese, Mughlai, Pizza, Fast Food, Lebanese, Beverages, South Indian, Chinese, Mughlai, North Indian, Desserts, Ice Cream, North Indian, North Indian, Chinese, Fast Food, Fast Food, American, Fast Food, Salad, Healthy Food, North Indian, Mughlai, Mughlai, North Indian, North Indian, Mughlai, Fast Food, Burger, Cafe, Tibetan, Chinese, Fast Food, North Indian, Mughlai, North Indian, Mughlai, Italian, Pizza, Fast Food, Chinese, Seafood, Japanese, Chinese",2.81923076923077,"Average, Good, Poor",2265,0,Gift Shop,Fast Food Restaurant,Office,Multiplex,Café,Gym,Food Court,Bakery,Food & Drink Shop,Mediterranean Restaurant
227,Vasant Vihar,28.559703837391304,77.16097868347825,23,"Bakery, Desserts, Fast Food, Cafe, Mithai, Street Food, Bakery, Desserts, Fast Food, Chinese, North Indian, South Indian, Mughlai, Bakery, Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese, Raw Meats, North Indian, Fast Food, Chinese, North Indian, Mughlai, Bakery, Fast Food, Bakery, Desserts, Italian, Pizza, Bakery, North Indian, Chinese, Fast Food, North Indian, Fast Food, Chinese, Fast Food, Cafe, Bakery, Desserts, Pizza, Fast Food, Finger Food, Continental, Italian, Cafe, European",3.2782608695652176,"Average, Good, Very Good",1043,0,Café,Restaurant,Chinese Restaurant,Coffee Shop,Fast Food Restaurant,Donut Shop,Cocktail Bar,Pub,Department Store,Italian Restaurant
228,Vasundhara Enclave,28.596072808235295,77.3130409082353,17,"Street Food, Bakery, Mithai, Street Food, South Indian, Chinese, North Indian, Chinese, North Indian, North Indian, Mughlai, Chinese, Pizza, Fast Food, Chinese, Fast Food, Ice Cream, Desserts, Beverages, Fast Food, North Indian, Mughlai, North Indian, Chinese, North Indian, Raw Meats, Fast Food, Mithai, Bakery, Fast Food, Chinese",3.052941176470588,"Average, Good",305,0,,,,,,,,,,
229,Vijay Nagar,28.692518694516128,77.2026216596774,31,"Cafe, North Indian, Chinese, Chinese, North Indian, Chinese, Italian, North Indian, Chinese, Fast Food, South Indian, Chinese, North Indian, North Indian, Chinese, North Indian, Chinese, Fast Food, Continental, Chinese, Italian, Cafe, Continental, Mexican, Burger, Fast Food, Cafe, Mexican, Italian, North Indian, Chinese, Fast Food, North Indian, Chinese, Continental, Italian, Mexican, Lebanese, American, Italian, Cafe, North Indian, Cafe, Continental, Italian, Mithai, Fast Food, Chinese, Thai, Tibetan, Japanese, Street Food, Cafe, North Indian, Continental, Chinese, Cafe, Italian, Continental, Mexican, Mediterranean, North Indian, Continental, Italian, Chinese, Cafe, Italian, Fast Food, Bakery, Desserts, Fast Food, North Indian, Continental, Chinese, Italian, Fast Food, Fast Food, Bakery",3.606451612903226,"Average, Excellent, Good, Very Good",12271,0,Café,Italian Restaurant,Asian Restaurant,Fast Food Restaurant,Coffee Shop,Restaurant,Chinese Restaurant,Cheese Shop,Bakery,Tea Room
231,Vikaspuri,28.63749160433963,77.07367135452832,53,"North Indian, Mughlai, Desserts, Fast Food, Burger, Fast Food, North Indian, Cafe, Cafe, Bakery, North Indian, Chinese, Mughlai, Fast Food, Bakery, Chinese, North Indian, Chinese, Fast Food, Fast Food, Bakery, North Indian, Pizza, Chinese, Biryani, North Indian, Street Food, Chinese, Chinese, Fast Food, Chinese, Bakery, Fast Food, Pizza, South Indian, Fast Food, North Indian, North Indian, South Indian, Fast Food, Chinese, North Indian, Mughlai, Pizza, Fast Food, Bakery, Fast Food, North Indian, Raw Meats, Fast Food, Chinese, North Indian, South Indian, Raw Meats, Fast Food, North Indian, Mughlai, North Indian, South Indian, Chinese, Mithai, Desserts, South Indian, Chinese, South Indian, North Indian, Chinese, American, Fast Food, Salad, Healthy Food, Bakery, North Indian, Chinese, Chinese, North Indian, Chinese, Fast Food, North Indian, Street Food, Ice Cream, North Indian, Fast Food, Chinese, North Indian",3.062264150943395,"Average, Good, Poor",1253,0,Pizza Place,Beer Garden,Ice Cream Shop,Fast Food Restaurant,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
234,"West End Mall, Janak Puri",28.630044399999996,77.07991770000001,2,"Fast Food, American, Fast Food, Salad, Healthy Food",2.75,"Average, Poor",238,0,Indian Restaurant,Chinese Restaurant,Sandwich Place,Fast Food Restaurant,Coffee Shop,Light Rail Station,BBQ Joint,Gym / Fitness Center,Restaurant,Hotel
237,"Worldmark 1, Aerocity",28.550256852,77.121720974,5,"Beverages, Street Food, North Indian, American, Fast Food, Salad, Healthy Food, Chinese, Biryani, Hyderabadi",3.22,"Average, Good",77,0,Hotel,Indian Restaurant,Bed & Breakfast,Coffee Shop,Italian Restaurant,Light Rail Station,Gastropub,Shopping Mall,Restaurant,Bakery
